Channel
Fp1
Fz
F3
F7
CP5
FC5
FC1
C3
PO3
PO7
CP1
Pz
P3
P7
O1
Oz
O2
P4
P8
PO8
CP2
Cz
C4
PO4
CP6
FC6
FC2
F4
F8
Fp2
HEOG
VEOG
StimTrak
