sid,timepoint,factor,semipartial correlation
1,675,Number of Locations,-0.23555781658172803
1,725,Number of Locations,-0.1947946982081696
1,775,Number of Locations,-0.07346073192295789
1,825,Number of Locations,-0.2813244286165196
1,875,Number of Locations,-0.17734685457510832
1,925,Number of Locations,-0.012063701734643655
1,975,Number of Locations,-0.03972401777431431
1,1025,Number of Locations,-0.11602634658555727
1,1075,Number of Locations,-0.14221107715131423
1,1125,Number of Locations,-0.09056990677504542
1,1175,Number of Locations,-0.01338387732935017
1,1225,Number of Locations,-0.08915664278705422
1,-225,Overlap Process,-0.037451989968515356
1,-175,Overlap Process,0.07566702467948765
1,-125,Overlap Process,0.148755157589333
1,-75,Overlap Process,-0.020833612347797955
1,-25,Overlap Process,0.27533327094697796
1,25,Overlap Process,0.008031240075344327
1,75,Overlap Process,-0.007660273362942637
1,125,Overlap Process,0.03794571999244072
1,175,Overlap Process,-0.009936555360618451
1,225,Overlap Process,0.13147852952831596
1,275,Overlap Process,0.08763727801847546
1,325,Overlap Process,0.2873374162282848
1,375,Overlap Process,0.29247026460340203
1,425,Overlap Process,0.2283627084221917
1,475,Overlap Process,0.27880820359981395
1,525,Overlap Process,0.24704796891519915
1,575,Overlap Process,0.3554217692302679
1,625,Overlap Process,0.28262100997962697
1,675,Overlap Process,0.3381388442780732
1,725,Overlap Process,0.46041795382638545
1,775,Overlap Process,0.38358398829996926
1,825,Overlap Process,0.36114541664547156
1,875,Overlap Process,0.1276823717433072
1,925,Overlap Process,0.15401270413809742
1,975,Overlap Process,-0.10965456890655668
1,1025,Overlap Process,0.18940411206482627
1,1075,Overlap Process,0.12966758286785102
1,1125,Overlap Process,0.11206978500550296
1,1175,Overlap Process,-0.15642194195880074
1,1225,Overlap Process,0.03213017018548188
1,-225,Attended Area,-0.3047611268041856
1,-175,Attended Area,-0.3805070961848225
1,-125,Attended Area,0.15250062200500233
1,-75,Attended Area,-0.2696720772059856
1,-25,Attended Area,0.04098547670217041
1,25,Attended Area,0.01012797909470893
1,75,Attended Area,0.1477401401556276
1,125,Attended Area,-0.09586055156085317
1,175,Attended Area,0.34830344728808876
1,225,Attended Area,0.6777828329890798
1,275,Attended Area,0.6317660463311963
1,325,Attended Area,0.23666037625067066
1,375,Attended Area,0.2934542497763639
1,425,Attended Area,0.43712950208389184
1,475,Attended Area,0.35018628107533367
1,525,Attended Area,0.24420706168440698
1,575,Attended Area,0.08288172097946832
1,625,Attended Area,-0.10707896463441519
1,675,Attended Area,-0.045805796188351025
1,725,Attended Area,-0.07883111314719937
1,775,Attended Area,-0.028410958532431755
1,825,Attended Area,-0.049719295466364014
1,875,Attended Area,0.12225286553366574
1,925,Attended Area,-0.024266570751768933
1,975,Attended Area,-0.03341828284036047
1,1025,Attended Area,0.11143398655154711
1,1075,Attended Area,0.005898124966956058
1,1125,Attended Area,0.19080947423519865
1,1175,Attended Area,-0.14342692582045194
1,1225,Attended Area,-0.04528254489013739
1,-225,Total,0.3227846640420639
1,-175,Total,0.4195530918757275
1,-125,Total,0.4138116240782075
1,-75,Total,0.2870067611529682
1,-25,Total,0.3117321673105794
1,25,Total,0.14384838500590694
1,75,Total,0.2091050427644715
1,125,Total,0.2875335885415957
1,175,Total,0.3988239788309578
1,225,Total,0.7047924356114507
1,275,Total,0.6671152117075653
1,325,Total,0.5039618885179044
1,375,Total,0.3995439862075863
1,425,Total,0.5095079338355875
1,475,Total,0.41907867746618077
1,525,Total,0.38722714459208096
1,575,Total,0.4304598749969327
1,625,Total,0.3584906771108918
1,675,Total,0.4150717086099439
1,725,Total,0.5650105904904779
1,775,Total,0.4311414823994213
1,825,Total,0.4921809332724266
1,875,Total,0.3065837916897477
1,925,Total,0.1671376247205573
1,975,Total,0.17130950738521872
1,1025,Total,0.24862359542673895
1,1075,Total,0.24260184043474994
1,1125,Total,0.23569821836188246
1,1175,Total,0.3031447190245494
1,1225,Total,0.12449742831250792
2,-225,Set Size,-0.2753333041141436
2,-175,Set Size,0.15132135530807758
2,-125,Set Size,-0.09332669552291599
2,-75,Set Size,-0.09221204429692244
2,-25,Set Size,0.1514194884702034
2,25,Set Size,-0.1216548794693348
2,75,Set Size,0.01228808660512079
2,125,Set Size,0.029294487623743027
2,175,Set Size,0.07600669294164486
2,225,Set Size,-0.036207336270194776
2,275,Set Size,0.13699179082146906
2,325,Set Size,0.2411169090982231
2,375,Set Size,0.34993818571437396
2,425,Set Size,0.06733532006952987
2,475,Set Size,0.26137325771197195
2,525,Set Size,0.4813934162010819
2,575,Set Size,0.3950954877720795
2,625,Set Size,0.29144713532277006
2,675,Set Size,0.0732450277430455
2,725,Set Size,0.003434483472056308
2,775,Set Size,0.07948640624494151
2,825,Set Size,0.11017356005037576
2,875,Set Size,0.03897810740033977
2,925,Set Size,0.06435761937729663
2,975,Set Size,0.07158847976260385
2,1025,Set Size,0.029422186054477568
2,1075,Set Size,0.08624683598783438
2,1125,Set Size,0.10984732749273629
2,1175,Set Size,0.18615586923857627
2,1225,Set Size,0.4407994014848202
2,-225,Number of Locations,-0.26373768164510863
2,-175,Number of Locations,0.21156797825897325
2,-125,Number of Locations,-0.21815339024257197
2,-75,Number of Locations,0.2589447980970439
2,-25,Number of Locations,0.23095873791926586
2,25,Number of Locations,0.1552735057420391
2,75,Number of Locations,-0.059688813065301695
2,125,Number of Locations,-0.025019547316334198
2,175,Number of Locations,-0.033739368695487014
2,225,Number of Locations,0.09721182903089139
2,275,Number of Locations,-0.03978457960222608
2,325,Number of Locations,-0.162949280077453
2,375,Number of Locations,0.20298103134805862
2,425,Number of Locations,-0.043574586640465776
2,475,Number of Locations,-0.036554913450448465
2,525,Number of Locations,0.19018187422552918
2,575,Number of Locations,0.07213405625265297
2,625,Number of Locations,0.037501131515986545
2,675,Number of Locations,-0.18809064484781682
2,725,Number of Locations,-0.21827826300237615
2,775,Number of Locations,-0.2489473865285564
2,825,Number of Locations,-0.22868794293870107
2,875,Number of Locations,-0.22574367031545084
2,925,Number of Locations,-0.26839686904362575
2,975,Number of Locations,-0.14639280115414388
2,1025,Number of Locations,-0.10135731882074672
2,1075,Number of Locations,-0.09858775169889906
2,1125,Number of Locations,-0.14810947081846665
2,1175,Number of Locations,0.03919924098001687
2,1225,Number of Locations,0.1588724672747
2,-225,Overlap Process,0.3014040244396611
2,-175,Overlap Process,0.08069789045824029
2,-125,Overlap Process,0.2167693726565437
2,-75,Overlap Process,-0.06924358871932522
2,-25,Overlap Process,0.21015131585438995
2,25,Overlap Process,0.2170520568566032
2,75,Overlap Process,-0.01697556978896344
