SS1,SS2
35.592592592592595,36.18651362984218
36.307377049180324,35.88313413014608
36.15151515151515,36.285714285714285
36.222943722943725,35.953917050691246
36.06611570247934,35.97050561797753
36.17816091954023,35.93909348441926
36.19407008086253,36.28849557522124
36.14728682170543,35.68476821192053
36.33025404157044,35.87819548872181
36.0042194092827,35.63687943262411
35.95940170940171,36.00711237553343
36.304556354916066,36.14057507987221
35.743486973947896,35.934404283801875
36.20645161290322,35.58474576271186
35.826492537313435,36.19277108433735
35.94663573085847,36.08612440191388
36.19298245614035,35.972006220839816
35.72211350293542,36.108815426997246
36.073469387755104,35.92401628222524
36.15843621399177,36.10909090909091
36.522222222222226,35.984572230014024
35.99250936329588,35.92379679144385
36.375,36.179597701149426
